frame_id,elapsed_sec,people_count,density,density_slope,flow_pressure,flow_coherence,risk_state,confidence,reason_code,latency_ms,risk_state_numeric
0,0.0,14,0.3333,0.0,0.0,0.5,NORMAL,0.0,STABLE,1.97,0
1,0.1,16,0.381,0.0952,0.0,0.5,NORMAL,0.8358,HYSTERESIS_HOLD,23.22,0
2,0.2,16,0.381,0.0762,0.0,0.5,NORMAL,0.8359,HYSTERESIS_HOLD,21.0,0
3,0.3,14,0.3333,-0.0343,0.0,0.5,NORMAL,0.8502,HYSTERESIS_HOLD,23.61,0
4,0.4,15,0.3571,0.0202,0.0,0.5,NORMAL,0.8432,HYSTERESIS_HOLD,18.56,0
5,0.5,16,0.381,0.0638,0.0,0.5,NORMAL,0.8361,HYSTERESIS_HOLD,18.66,0
6,0.6,16,0.381,0.051,0.0,0.5,NORMAL,0.8362,HYSTERESIS_HOLD,22.18,0
7,0.7,14,0.3333,-0.0544,0.0,0.5,NORMAL,0.8506,HYSTERESIS_HOLD,17.62,0
8,0.8,17,0.4048,0.0993,0.0,0.5,NORMAL,0.8292,HYSTERESIS_HOLD,17.18,0
9,0.9,15,0.3571,-0.0158,0.0,0.5,NORMAL,0.8436,HYSTERESIS_HOLD,17.26,0
10,1.0,15,0.3571,-0.0126,0.0,0.5,NORMAL,0.8437,HYSTERESIS_HOLD,18.23,0
11,1.1,17,0.4048,0.0851,0.0,0.5,NORMAL,0.8295,HYSTERESIS_HOLD,16.68,0
12,1.2,17,0.4048,0.0681,0.0,0.5,NORMAL,0.8296,HYSTERESIS_HOLD,17.37,0
13,1.3,15,0.3571,-0.0408,0.0,0.5,NORMAL,0.8439,HYSTERESIS_HOLD,18.14,0
14,1.4,15,0.3571,-0.0326,0.0,0.5,NORMAL,0.844,HYSTERESIS_HOLD,18.36,0
15,1.5,16,0.381,0.0215,0.0,0.5,NORMAL,0.837,HYSTERESIS_HOLD,17.75,0
16,1.6,15,0.3571,-0.0304,0.0,0.5,NORMAL,0.8442,HYSTERESIS_HOLD,18.55,0
17,1.7,16,0.381,0.0233,0.0,0.5,NORMAL,0.8371,HYSTERESIS_HOLD,19.31,0
18,1.8,18,0.4286,0.1139,0.0,0.5,NORMAL,0.8229,HYSTERESIS_HOLD,18.24,0
19,1.9,18,0.4286,0.0911,0.0,0.5,NORMAL,0.823,HYSTERESIS_HOLD,17.65,0
20,2.0,16,0.381,-0.0224,0.0,0.5,NORMAL,0.8374,HYSTERESIS_HOLD,23.87,0
21,2.1,16,0.381,-0.0179,0.0,0.5,NORMAL,0.8375,HYSTERESIS_HOLD,19.28,0
22,2.2,18,0.4286,0.0809,0.0,0.5,NORMAL,0.8233,HYSTERESIS_HOLD,16.73,0
23,2.3,18,0.4286,0.0647,0.0,0.5,NORMAL,0.8233,HYSTERESIS_HOLD,16.8,0
24,2.4,18,0.4286,0.0518,0.0,0.5,NORMAL,0.8234,HYSTERESIS_HOLD,22.02,0
25,2.5,16,0.381,-0.0538,0.0,0.5,NORMAL,0.8378,HYSTERESIS_HOLD,23.57,0
26,2.6,16,0.381,-0.043,0.0,0.5,NORMAL,0.8379,HYSTERESIS_HOLD,23.69,0
27,2.7,17,0.4048,0.0132,0.0,0.5,NORMAL,0.8308,HYSTERESIS_HOLD,24.06,0
28,2.8,18,0.4286,0.0582,0.0,0.5,NORMAL,0.8238,HYSTERESIS_HOLD,17.21,0
29,2.9,18,0.4286,0.0465,0.0,0.5,NORMAL,0.8238,HYSTERESIS_HOLD,18.18,0
30,3.0,18,0.4286,0.0372,0.0,0.5,NORMAL,0.8239,HYSTERESIS_HOLD,18.5,0
31,3.1,19,0.4524,0.0774,0.0,0.5,NORMAL,0.8169,HYSTERESIS_HOLD,18.47,0
32,3.2,17,0.4048,-0.0333,0.0,0.5,NORMAL,0.8312,HYSTERESIS_HOLD,17.6,0
33,3.3,17,0.4048,-0.0267,0.0,0.5,NORMAL,0.8313,HYSTERESIS_HOLD,18.1,0
34,3.4,18,0.4286,0.0263,0.0,0.5,NORMAL,0.8243,HYSTERESIS_HOLD,22.14,0
35,3.5,19,0.4524,0.0687,0.0,0.5,NORMAL,0.8172,HYSTERESIS_HOLD,23.64,0
36,3.6,18,0.4286,0.0073,0.0,0.5,NORMAL,0.8244,HYSTERESIS_HOLD,21.24,0
37,3.7,17,0.4048,-0.0418,0.0,0.5,NORMAL,0.8317,HYSTERESIS_HOLD,22.57,0
38,3.8,18,0.4286,0.0142,0.0,0.5,NORMAL,0.8246,HYSTERESIS_HOLD,18.31,0
39,3.9,16,0.381,-0.0839,0.0,0.5,NORMAL,0.839,HYSTERESIS_HOLD,19.51,0
40,4.0,17,0.4048,-0.0195,0.0,0.5,NORMAL,0.8319,HYSTERESIS_HOLD,17.75,0
41,4.1,17,0.4048,-0.0156,0.0,0.5,NORMAL,0.832,HYSTERESIS_HOLD,19.36,0
42,4.2,18,0.4286,0.0351,0.0,0.5,NORMAL,0.8249,HYSTERESIS_HOLD,18.22,0
43,4.3,17,0.4048,-0.0195,0.0,0.5,NORMAL,0.8322,HYSTERESIS_HOLD,17.74,0
44,4.4,17,0.4048,-0.0156,0.0,0.5,NORMAL,0.8322,HYSTERESIS_HOLD,18.23,0
45,4.5,17,0.4048,-0.0125,0.0,0.5,NORMAL,0.8323,HYSTERESIS_HOLD,21.62,0
46,4.6,18,0.4286,0.0376,0.0,0.5,NORMAL,0.8253,HYSTERESIS_HOLD,19.2,0
47,4.7,18,0.4286,0.0301,0.0,0.5,NORMAL,0.8253,HYSTERESIS_HOLD,17.65,0
48,4.8,17,0.4048,-0.0235,0.0,0.5,NORMAL,0.8326,HYSTERESIS_HOLD,21.39,0
49,4.9,19,0.4524,0.0764,0.0,0.5,NORMAL,0.8184,HYSTERESIS_HOLD,18.61,0
50,5.0,18,0.4286,0.0135,0.0,0.5,NORMAL,0.8256,STABLE,18.63,0
51,5.1,19,0.4524,0.0584,0.0,0.5,NORMAL,0.8143,HYSTERESIS_HOLD,16.8,0
52,5.2,18,0.4286,-0.0009,0.0,0.5,NORMAL,0.8258,STABLE,16.55,0
53,5.3,19,0.4524,0.0469,0.0,0.5,NORMAL,0.8187,STABLE,18.2,0
54,5.4,17,0.4048,-0.0577,0.0,0.5,NORMAL,0.8331,STABLE,16.68,0
55,5.5,17,0.4048,-0.0462,0.0,0.5,NORMAL,0.8332,STABLE,17.35,0
56,5.6,18,0.4286,0.0107,0.0,0.5,NORMAL,0.8261,STABLE,16.7,0
57,5.7,17,0.4048,-0.0391,0.0,0.5,NORMAL,0.8333,STABLE,17.14,0
58,5.8,18,0.4286,0.0164,0.0,0.5,NORMAL,0.8263,STABLE,16.8,0
59,5.9,17,0.4048,-0.0345,0.0,0.5,NORMAL,0.8335,STABLE,16.72,0
60,6.0,17,0.4048,-0.0276,0.0,0.5,NORMAL,0.8336,STABLE,16.58,0
61,6.1,18,0.4286,0.0255,0.0,0.5,NORMAL,0.8265,STABLE,16.41,0
62,6.2,17,0.4048,-0.0272,0.0,0.5,NORMAL,0.8337,STABLE,16.32,0
63,6.3,17,0.4048,-0.0218,0.0,0.5,NORMAL,0.8338,STABLE,16.69,0
64,6.4,19,0.4524,0.0778,0.0,0.5,NORMAL,0.8143,HYSTERESIS_HOLD,16.48,0
65,6.5,18,0.4286,0.0146,0.0,0.5,NORMAL,0.8268,STABLE,16.57,0
66,6.6,17,0.4048,-0.0359,0.0,0.5,NORMAL,0.8341,STABLE,16.54,0
67,6.7,17,0.4048,-0.0287,0.0,0.5,NORMAL,0.8342,STABLE,16.84,0
68,6.8,17,0.4048,-0.023,0.0,0.5,NORMAL,0.8342,STABLE,17.65,0
69,6.9,18,0.4286,0.0292,0.0,0.5,NORMAL,0.8272,STABLE,17.35,0
70,7.0,17,0.4048,-0.0242,0.0,0.5,NORMAL,0.8344,STABLE,17.03,0
71,7.1,16,0.381,-0.067,0.0,0.5,NORMAL,0.8416,STABLE,17.26,0
72,7.2,19,0.4524,0.0893,0.0,0.5,NORMAL,0.8143,HYSTERESIS_HOLD,16.6,0
73,7.3,18,0.4286,0.0238,0.0,0.5,NORMAL,0.8275,STABLE,21.95,0
74,7.4,16,0.381,-0.0762,0.0,0.5,NORMAL,0.8419,STABLE,18.93,0
75,7.5,18,0.4286,0.0343,0.0,0.5,NORMAL,0.8277,STABLE,16.8,0
76,7.6,17,0.4048,-0.0202,0.0,0.5,NORMAL,0.8349,STABLE,16.45,0
77,7.7,17,0.4048,-0.0162,0.0,0.5,NORMAL,0.835,STABLE,16.33,0
78,7.8,18,0.4286,0.0347,0.0,0.5,NORMAL,0.8279,STABLE,16.33,0
79,7.9,18,0.4286,0.0278,0.0,0.5,NORMAL,0.828,STABLE,16.98,0
80,8.0,16,0.381,-0.073,0.0,0.5,NORMAL,0.8424,STABLE,20.32,0
81,8.1,16,0.381,-0.0584,0.0,0.5,NORMAL,0.8425,STABLE,17.88,0
82,8.2,18,0.4286,0.0485,0.0,0.5,NORMAL,0.8283,STABLE,21.23,0
83,8.3,15,0.3571,-0.1041,0.0,0.5,NORMAL,0.8498,STABLE,16.33,0
84,8.4,18,0.4286,0.0596,0.0,0.5,NORMAL,0.8214,HYSTERESIS_HOLD,16.12,0
85,8.5,16,0.381,-0.0476,0.0,0.5,NORMAL,0.8428,STABLE,18.86,0
86,8.6,15,0.3571,-0.0857,0.0,0.5,NORMAL,0.85,STABLE,19.83,0
87,8.7,17,0.4048,0.0267,0.0,0.5,NORMAL,0.8358,STABLE,17.17,0
88,8.8,17,0.4048,0.0214,0.0,0.5,NORMAL,0.8359,STABLE,20.81,0
89,8.9,16,0.381,-0.0305,0.0,0.5,NORMAL,0.8431,STABLE,18.69,0
90,9.0,15,0.3571,-0.072,0.0,0.5,NORMAL,0.8504,STABLE,17.66,0
91,9.1,16,0.381,-0.01,0.0,0.5,NORMAL,0.8433,STABLE,22.16,0
92,9.2,15,0.3571,-0.0556,0.0,0.5,NORMAL,0.8505,STABLE,22.09,0
93,9.3,17,0.4048,0.0507,0.0,0.5,NORMAL,0.8286,HYSTERESIS_HOLD,16.58,0
94,9.4,16,0.381,-0.007,0.0,0.5,NORMAL,0.8435,STABLE,16.46,0
95,9.5,17,0.4048,0.042,0.0,0.5,NORMAL,0.8365,STABLE,16.95,0
96,9.6,15,0.3571,-0.0616,0.0,0.5,NORMAL,0.8509,STABLE,18.0,0
97,9.7,15,0.3571,-0.0493,0.0,0.5,NORMAL,0.8509,STABLE,19.07,0
98,9.8,16,0.381,0.0082,0.0,0.5,NORMAL,0.8439,STABLE,16.69,0
99,9.9,15,0.3571,-0.0411,0.0,0.5,NORMAL,0.8511,STABLE,20.16,0
